Name,Sweep (T1),,,
Date,12/18/2024,,,
Time,13:52:50,,,
LATITUDE,-7,2,27.397,,
LONGITUDE,-38,16,6.683,,
ALTITUDE,393.5,,
Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,
Span,1550000000,Hz,,
Ref Level,-20,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,3000000,Hz,,
VBW,30000,Hz,,
SWT,0.043,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Auto Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,416760563.4,Hz,,
Marker 1 Value,-74.35,dBm,,

Frequency [Hz],Maximum [dBm],Minimum [dBm],,
50000000,-80.6833190917969,-85.2465591430664,,
52183098.5915493,-80.7350463867188,-83.6883392333984,,
54366197.1830986,-80.8241195678711,-85.1919174194336,,
56549295.7746479,-80.6832504272461,-83.9805526733398,,
58732394.3661972,-79.4777679443359,-83.2285003662109,,
60915492.9577465,-80.3454437255859,-85.5891418457031,,
63098591.5492958,-80.4569854736328,-84.7514343261719,,
65281690.1408451,-80.1584854125977,-83.6837539672852,,
67464788.7323944,-81.1474761962891,-85.0589752197266,,
69647887.3239437,-81.0715026855469,-84.4514312744141,,
71830985.915493,-81.4615478515625,-85.2585830688477,,
74014084.5070423,-81.1902008056641,-84.8152770996094,,
76197183.0985916,-80.9705429077148,-84.3155746459961,,
78380281.6901408,-80.7572555541992,-83.8066024780273,,
80563380.2816902,-80.3577041625977,-83.948844909668,,
82746478.8732394,-80.4548110961914,-85.0919723510742,,
84929577.4647887,-80.1185760498047,-85.3344116210938,,
87112676.056338,-80.9994430541992,-84.6725845336914,,
