Name,Sweep (T1),,,
Date,12/18/2024,,,
Time,17:19:28,,,
LATITUDE,-7,2,33.475,,
LONGITUDE,-38,16,1.637,,
ALTITUDE,398.8,,
Instrument,FPH - 103490/026,,,
Firmware Version,V2.40,,,
Country of Origin,Malaysia,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,825000000,Hz,,
Frequency Offset,0,Hz,,
Span,1550000000,Hz,,
Ref Level,-20,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,3000000,Hz,,
VBW,30000,Hz,,
SWT,0.043,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Auto Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,822816901.4,Hz,,
Marker 1 Value,-81.58,dBm,,

Frequency [Hz],Maximum [dBm],Minimum [dBm],,
50000000,-80.7710266113281,-84.7648620605469,,
52183098.5915493,-81.2289962768555,-83.6130676269531,,
54366197.1830986,-81.1301651000977,-84.1197967529297,,
56549295.7746479,-81.3229141235352,-84.7326583862305,,
58732394.3661972,-80.8601150512695,-84.1275863647461,,
60915492.9577465,-81.0212554931641,-84.0897216796875,,
63098591.5492958,-80.9332656860352,-84.7541885375977,,
65281690.1408451,-80.8486404418945,-85.2628707885742,,
67464788.7323944,-80.8298263549805,-85.9981918334961,,
69647887.3239437,-81.4423599243164,-84.1815948486328,,
71830985.915493,-80.1741485595703,-83.9814910888672,,
74014084.5070423,-81.0441513061523,-84.9710006713867,,
76197183.0985916,-81.30908203125,-85.8121948242188,,
78380281.6901408,-81.3745727539063,-84.877197265625,,
80563380.2816902,-81.2836380004883,-85.6896591186523,,
82746478.8732394,-81.2081298828125,-84.9659118652344,,
84929577.4647887,-80.8091506958008,-85.0324935913086,,
87112676.056338,-80.5529556274414,-84.5525436401367,,
89295774.6478873,-81.6941833496094,-84.6329574584961,,
91478873.2394366,-80.5675354003906,-85.2563018798828,,
93661971.8309859,-81.9008026123047,-85.8892211914063,,
95845070.4225352,-81.4419708251953,-85.5661544799805,,
98028169.0140845,-81.0218811035156,-85.3519821166992,,
100211267.605634,-81.6093292236328,-84.5500869750977,,
102394366.197183,-81.1531829833984,-85.7023162841797,,
104577464.788732,-81.3865356445313,-84.3622741699219,,
106760563.380282,-81.3098373413086,-84.3683853149414,,
108943661.971831,-81.1353912353516,-84.8434524536133,,
111126760.56338,-82.3534317016602,-85.249626159668,,
113309859.15493,-80.9797439575195,-85.7758712768555,,
115492957.746479,-81.0292816162109,-84.9791717529297,,
117676056.338028,-80.7138977050781,-84.0685043334961,,
119859154.929577,-81.0885848999023,-84.6295928955078,,
122042253.521127,-81.8587112426758,-84.6409530639648,,
124225352.112676,-81.71533203125,-84.3305587768555,,
126408450.704225,-80.8427581787109,-84.5313568115234,,
128591549.295775,-82.2865295410156,-85.9496307373047,,
130774647.887324,-82.0744476318359,-85.9225769042969,,
132957746.478873,-82.3006896972656,-85.7350997924805,,
135140845.070423,-81.3013153076172,-85.3392562866211,,
137323943.661972,-81.0235977172852,-84.9523544311523,,
139507042.253521,-81.8259124755859,-85.2668075561523,,
